02VT_GB01DI-02.UNIT01@BLOCK1;02VT_LP02AO-05.UNIT01@BLOCK1;
2020-01-01 00:50:02;0.28;
2020-01-01 21:48:29;0.17900001;
2020-01-02 19:48:36;0.229;
2020-01-03 19:48:26;0.255;
2020-01-04 19:45:14;0.20299999;
2020-01-05 19:45:21;0.244;
2020-01-07 19:49:53;0.23800001;
2020-01-08 19:49:52;0.237;
2020-01-09 23:49:57;0.176;
2020-01-10 23:49:51;1.493;
2020-01-11 20:48:25;0.208;
2020-01-12 20:48:24;0.278;
2020-01-13 22:49:55;0.237;
2020-01-15 09:41:56;0.69300002;
2020-01-15 22:42:24;0.45300001;
2020-01-16 22:49:58;0.183;
2020-01-17 13:32:01;0.255;
2020-01-20 22:49:26;0.175;
2020-01-21 17:51:20;0.244;
2020-01-22 13:51:02;0.28;
2020-01-23 22:49:59;0.32600001;
2020-01-27 14:36:59;0.19499999;
2020-01-28 12:36:11;0.132;
2020-01-29 23:49:55;0.546;
2020-01-30 22:49:40;0.27500001;
2020-01-31 22:33:04;0.37200001;
2020-02-04 00:45:26;0.486;
2020-02-04 16:44:56;0.237;
2020-02-05 22:49:39;0.30899999;
2020-02-07 22:49:59;0.18700001;
2020-02-09 21:16:29;0.433;
2020-02-10 22:49:51;0.83099997;
2020-02-12 22:49:51;0.366;
2020-02-14 23:49:50;0.257;
2020-02-16 21:51:23;0.35499999;
2020-02-17 10:15:24;0.214;
2020-02-18 22:50:03;0.43000001;
2020-02-20 22:50:08;0.229;
2020-02-21 22:34:49;0.31099999;
2020-02-25 15:35:03;0.63;
2020-02-26 11:55:30;0.285;
2020-02-27 20:16:39;0.44100001;
2020-02-28 20:19:48;0.48500001;
2020-03-02 22:50:00;0.214;
2020-03-03 22:49:52;0.51999998;
2020-03-04 22:50:46;0.273;
2020-03-05 22:50:00;0.199;
2020-03-06 22:50:06;0.214;
2020-03-08 22:48:26;0.154;
2020-03-09 00:10:28;0.131;
2020-03-09 22:49:54;0.42500001;
2020-03-10 22:49:38;0.096000001;
2020-03-11 22:49:56;0.442;
2020-03-13 22:49:54;0.354;
2020-03-14 00:05:32;0.354;
2020-03-14 22:50:03;0.38999999;
2020-03-15 13:04:30;0.109;
2020-03-15 22:48:25;0.58999997;
2020-03-16 21:59:36;0.20999999;
2020-03-17 23:50:02;0.23;
2020-03-18 23:49:51;0.56900001;
2020-03-20 15:37:50;0.57599998;
2020-03-21 02:49:51;0.46799999;
2020-03-21 14:31:37;0.38600001;
2020-03-21 22:48:31;0.46700001;
2020-03-22 22:48:25;0.46700001;
2020-03-23 17:40:21;0.12899999;
2020-03-26 04:29:12;0.20900001;
2020-03-27 17:19:30;0.24600001;
2020-03-27 22:25:11;0.396;
2020-03-28 23:52:53;0.25600001;
2020-03-31 00:04:16;0.292;
2020-04-01 20:56:01;0.227;
2020-04-03 09:17:01;0.25799999;
2020-04-08 13:18:50;3.6170001;
2020-04-10 00:09:00;0.26800001;
2020-04-12 15:58:36;0.25600001;
2020-04-13 08:03:49;0.52399999;
2020-04-13 08:55:08;0.22499999;
2020-04-13 11:00:55;0.104;
2020-04-13 15:46:35;0.264;
2020-04-18 00:17:42;0.255;
2020-04-20 09:33:47;0.31600001;
2020-04-20 09:55:35;0.389;
2020-04-21 09:45:35;0.30700001;
2020-04-22 09:52:18;0.29899999;
2020-05-04 16:02:28;0.67199999;
2020-05-08 22:06:09;0.138;
2020-05-31 15:45:16;0.16500001;
2020-06-06 18:54:06;0.22400001;
2020-06-11 09:55:49;0.233;
2020-06-11 10:57:09;0.20299999;
2020-06-12 01:36:33;0.19;
2020-06-13 07:48:29;0.37599999;
2020-06-14 16:30:35;0.221;
2020-06-16 06:34:18;0.31200001;
2020-06-17 02:48:24;0.228;
2020-06-18 20:45:22;0.193;
2020-06-19 07:31:08;0.176;
2020-06-21 20:39:38;0.308;
2020-06-22 11:31:08;0.93300003;
2020-06-22 16:28:07;0.25600001;
2020-06-22 18:27:13;0.13600001;
2020-06-24 02:45:25;0.815;
2020-06-24 04:52:34;0.138;
2020-06-24 10:52:17;0.26300001;
2020-06-24 15:37:09;0.142;
2020-06-26 02:49:54;0.171;
2020-06-27 00:27:28;0.227;
2020-07-06 18:36:20;0.234;
2020-08-12 15:35:52;0.0;
2020-08-12 15:39:27;0.0;
2020-08-12 15:41:12;0.0;
2020-08-12 15:42:18;0.0;
2020-11-12 11:54:51;0.197;
2020-11-13 02:54:16;0.66799998;
2020-11-15 19:55:35;0.27200001;
2020-11-19 02:47:42;0.23899999;
2020-11-19 20:47:43;0.26499999;
2020-11-20 20:48:42;0.72100002;
2020-11-21 20:47:32;0.149;
2020-11-22 20:47:34;0.377;
2020-11-23 20:47:31;0.229;
2020-11-24 20:46:32;0.29800001;
2020-11-25 20:49:26;0.26100001;
2020-11-26 20:51:48;0.29300001;
2020-11-27 20:47:18;0.242;
2020-11-29 23:48:23;0.17;
2020-11-30 20:47:23;0.199;
2020-12-01 20:47:23;0.185;
2020-12-02 20:47:05;0.19499999;
2020-12-03 20:47:59;0.233;
2020-12-04 20:48:03;0.16500001;
2020-12-05 20:47:13;0.28600001;
2020-12-06 20:47:24;0.25600001;
2020-12-07 20:47:43;0.222;
2020-12-08 20:48:42;0.48500001;
2020-12-09 20:45:24;0.229;
2020-12-10 20:45:12;0.26300001;
2020-12-11 23:49:36;0.249;
2020-12-12 20:48:15;0.248;
2020-12-13 20:45:30;0.315;
2020-12-14 23:49:16;0.23100001;
2020-12-15 20:45:08;0.18000001;
2020-12-16 20:45:10;0.20100001;
