10VT_GB01DI-02.UNIT09@BLOCK5;10VT_LP02AO-05.UNIT09@BLOCK5;
2020-01-02 10:11:55;0.178;
2020-01-03 04:54:03;0.77399999;
2020-01-03 09:47:52;0.191;
2020-01-05 01:32:43;0.33899999;
2020-01-06 02:14:26;0.255;
2020-01-08 11:30:21;0.22;
2020-01-09 23:45:42;0.236;
2020-01-10 23:34:41;0.15700001;
2020-01-12 20:47:11;0.199;
2020-01-13 07:07:53;0.221;
2020-01-15 18:59:45;0.15099999;
2020-01-16 14:43:15;0.124;
2020-01-17 16:08:28;0.56400001;
2020-01-21 22:11:53;0.324;
2020-01-23 22:28:55;0.29300001;
2020-01-24 23:46:03;0.176;
2020-01-27 23:53:23;0.27399999;
2020-01-29 23:28:23;0.171;
2020-01-31 22:32:48;0.28999999;
2020-02-03 15:38:35;0.16599999;
2020-02-05 08:45:38;0.153;
2020-02-05 22:21:37;0.336;
2020-02-06 15:49:38;0.35800001;
2020-02-07 22:04:40;0.131;
2020-02-08 13:28:20;0.15899999;
2020-02-09 18:50:57;0.234;
2020-02-11 08:20:22;0.17;
2020-02-11 10:16:07;0.382;
2020-02-11 11:40:25;0.43700001;
2020-02-11 15:18:20;0.456;
2020-02-11 22:50:42;0.191;
2020-02-13 23:26:11;0.308;
2020-02-14 23:23:38;0.126;
2020-02-17 23:35:37;0.31099999;
2020-02-18 22:34:10;0.046999998;
2020-02-19 22:59:39;0.537;
2020-02-20 22:50:48;0.315;
2020-02-22 12:24:24;0.39199999;
2020-02-25 08:23:10;0.153;
2020-02-25 22:52:19;0.255;
2020-02-27 22:08:00;0.17299999;
2020-02-28 22:50:56;0.228;
2020-02-29 08:57:15;0.20900001;
2020-03-02 22:39:47;0.248;
2020-03-06 08:23:17;0.183;
2020-03-07 22:44:19;0.244;
2020-03-08 22:10:53;0.243;
2020-03-09 00:26:15;0.30199999;
2020-03-09 18:34:11;0.294;
2020-03-10 22:24:35;0.146;
2020-03-11 22:43:31;0.22;
2020-03-13 14:16:32;0.123;
2020-03-13 22:31:54;0.205;
2020-03-14 00:05:56;0.53299999;
2020-03-15 22:47:19;0.30599999;
2020-03-16 23:45:29;0.324;
2020-03-17 01:24:27;0.153;
2020-03-17 19:05:03;0.523;
2020-03-17 23:17:34;0.131;
2020-03-18 23:50:00;0.509;
2020-03-20 18:47:48;0.32800001;
2020-03-21 14:31:44;0.40000001;
2020-03-21 22:42:30;0.21799999;
2020-03-22 01:18:41;0.1;
2020-03-23 01:58:02;0.317;
2020-03-25 10:41:20;0.0;
2020-03-25 10:43:29;0.0;
2020-03-25 10:44:43;0.0;
2020-03-25 10:48:06;0.0;
2020-03-25 10:53:24;0.0;
2020-04-02 07:51:11;0.189;
2020-04-03 21:06:26;0.28299999;
2020-04-08 21:07:24;0.47099999;
2020-04-13 17:00:57;0.493;
2020-04-16 09:52:54;0.31;
2020-04-17 09:30:24;0.25799999;
2020-04-20 02:45:19;0.61299998;
2020-04-26 20:16:39;0.115;
2020-04-28 20:54:45;0.177;
2020-04-30 13:39:28;0.245;
2020-05-08 22:06:14;0.142;
2020-06-10 02:45:32;0.14;
2020-06-11 01:45:34;0.53100002;
2020-06-13 01:41:47;0.171;
2020-06-14 16:30:47;0.044;
2020-06-14 18:23:35;0.43799999;
2020-06-15 08:28:11;0.27900001;
2020-06-15 10:58:27;0.36899999;
2020-06-15 11:33:59;0.23999999;
2020-06-15 18:57:50;0.257;
2020-06-17 08:46:06;0.18000001;
2020-06-22 11:31:22;0.30599999;
2020-06-24 10:52:51;0.132;
2020-06-27 05:11:45;0.229;
2020-06-28 10:29:07;0.509;
2020-06-29 10:30:59;0.183;
2020-06-29 17:48:59;0.19499999;
2020-07-11 08:44:56;0.28999999;
2020-07-12 20:48:45;0.64200002;
2020-07-14 21:36:25;0.175;
2020-07-22 02:49:22;0.66000003;
2020-07-27 13:45:22;0.35600001;
2020-07-28 13:45:12;0.31999999;
2020-08-01 02:02:24;0.235;
2020-08-23 23:59:16;0.26899999;
2020-09-05 00:46:19;0.27399999;
2020-09-06 07:37:56;0.426;
2020-09-08 05:43:25;0.30500001;
2020-09-11 01:22:15;0.21600001;
2020-09-11 15:41:42;0.178;
2020-09-12 14:05:54;0.264;
2020-09-13 14:15:00;0.41299999;
2020-09-16 01:55:38;0.178;
2020-09-20 23:04:36;0.417;
2020-10-08 03:04:49;0.40000001;
2020-10-17 15:20:19;0.25;
2020-10-18 07:09:22;0.34299999;
2020-10-27 02:00:25;0.36899999;
2020-10-28 01:08:58;0.50599998;
2020-10-29 09:07:22;0.29300001;
2020-11-09 05:02:28;0.215;
2020-11-13 03:48:53;0.32800001;
2020-11-13 16:20:04;0.26300001;
2020-11-16 01:46:52;0.303;
